id	name	QID	ttu_id	start time	end time	point in time
ttu_462_event_1	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_462_event_2	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_3	Combat at LZ X-Ray	Q110624716		1965-11-14T00:00:00Z	1965-11-18T00:00:00Z	
ttu_462_event_4	Pleiku Campaign/Silver Bayonet	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
ttu_462_event_5	Pleiku Campaign	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
ttu_462_event_6	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_7	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_8	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_9	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_10	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_11	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_12	Pleiku Campaign	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
ttu_462_event_13	Siege of Plei Me	Q7510313		1965-10-19T00:00:00Z	1965-10-25T00:00:00Z	
ttu_462_event_14	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_462_event_15	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_462_event_16	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_462_event_17	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_462_event_18	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_462_event_19	Combat at LZ X-Ray	Q110624716		1965-11-14T00:00:00Z	1965-11-18T00:00:00Z	
ttu_462_event_20	Pleiku Campaign/Silver Bayonet	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
ttu_462_event_21	Pleiku Campaign/Silver Bayonet	Q24189107		1965-10-23T00:00:00Z	1965-11-26T00:00:00Z	
